City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Yumen,CN,46.18,clear sky,40.2833,97.2,
155,Urumqi,CN,49.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
157,Port Elizabeth,ZA,64.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
160,Laguna,US,70.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
165,Mokhotlong,LS,53.24,broken clouds,-29.2894,29.0675,Tsabi's Guest House
167,Bella Union,UY,74.41,clear sky,-30.2752,-57.6007,Saville Free Shop
171,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
172,Oktyabrskiy,RU,37.99,overcast clouds,54.4815,53.471,Гостиница Октябрьская
174,Pisco,PE,70.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
175,Lebowakgomo,ZA,70.7,broken clouds,-24.2,29.5,Chuene Resort
177,Lompoc,US,57.52,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
178,Katsuura,JP,51.51,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
179,Rapid Valley,US,53.42,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
181,Kodiak,US,33.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
182,Labrea,BR,73.26,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
186,Tateyama,JP,49.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
188,Prince Rupert,CA,42.89,overcast clouds,54.3161,-130.3201,Crest Hotel
189,Nanortalik,GL,38.17,light rain,60.1432,-45.2371,
190,Askino,RU,35.96,overcast clouds,56.0901,56.5783,Uyut
191,Sistranda,NO,35.56,overcast clouds,63.7256,8.834,Hotell Frøya
196,Bani Walid,LY,70.63,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
198,Marsa Matruh,EG,66.4,haze,31.3525,27.2453,Beau Site
199,Hervey Bay,AU,69.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
201,Chifeng,CN,43.56,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
203,Medicine Hat,CA,47.71,overcast clouds,50.0501,-110.6683,Sun Dek Motel
204,Coquimbo,CL,58.73,overcast clouds,-29.9533,-71.3436,Hotel San Juan
206,Bluff,NZ,57.4,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
207,Russell,US,65.91,broken clouds,32.3502,-85.1999,Macs
209,San Rafael,AR,74.79,clear sky,-34.6177,-68.3301,Hotel San Rafael
211,Chuy,UY,69.01,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
