City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Padang,ID,-0.9492,100.3543,76.44,81,7,4.25,clear sky
174,Pisco,PE,-13.7,-76.2167,70.02,73,0,8.05,clear sky
175,Lebowakgomo,ZA,-24.2,29.5,70.7,43,63,8.97,broken clouds
176,Sibolga,ID,1.7427,98.7792,77.76,85,100,2.17,overcast clouds
177,Lompoc,US,34.6391,-120.4579,57.52,90,100,3.44,overcast clouds
178,Katsuura,JP,35.1333,140.3,51.51,63,100,9.64,light rain
179,Rapid Valley,US,44.0625,-103.1463,53.42,35,0,8.01,clear sky
180,Tigil,RU,57.8,158.6667,11.64,98,99,2.84,overcast clouds
181,Kodiak,US,57.79,-152.4072,33.31,100,100,5.75,overcast clouds
182,Labrea,BR,-7.2586,-64.7981,73.26,84,100,3.96,overcast clouds
183,Cherskiy,RU,68.75,161.3,-15.34,100,99,1.05,overcast clouds
184,Norman Wells,CA,65.282,-126.8329,-12.96,58,20,6.91,few clouds
185,Saint-Pierre,RE,-21.3393,55.4781,75.29,89,75,3.44,broken clouds
186,Tateyama,JP,34.9833,139.8667,49.1,62,100,12.82,overcast clouds
187,Bara,NG,10.3744,10.7288,105.58,5,94,7.49,overcast clouds
188,Prince Rupert,CA,54.3161,-130.3201,42.89,75,100,36.82,overcast clouds
189,Nanortalik,GL,60.1432,-45.2371,38.17,86,100,9.44,light rain
190,Askino,RU,56.0901,56.5783,35.96,100,100,9.64,overcast clouds
191,Sistranda,NO,63.7256,8.834,35.56,75,100,21.12,overcast clouds
192,Aklavik,CA,68.2191,-135.0107,-18.4,76,0,2.3,clear sky
193,Zhigansk,RU,66.7697,123.3711,-3.75,100,76,1.54,broken clouds
194,Luderitz,NA,-26.6481,15.1594,64.92,71,0,21.14,clear sky
195,Qaanaaq,GL,77.484,-69.3632,15.33,85,91,3.8,overcast clouds
196,Bani Walid,LY,31.7566,13.9942,70.63,37,2,18.86,clear sky
197,Bayji,IQ,34.9311,43.487,77.47,19,56,3.94,broken clouds
198,Marsa Matruh,EG,31.3525,27.2453,66.4,68,100,6.91,haze
199,Hervey Bay,AU,-25.2986,152.8535,69.03,88,1,5.99,clear sky
200,Currais Novos,BR,-6.2608,-36.5178,92.39,32,81,11.9,broken clouds
201,Chifeng,CN,42.2683,118.9636,43.56,28,5,6.96,clear sky
202,Mecca,SA,21.4267,39.8261,84.07,32,8,2.53,clear sky
203,Medicine Hat,CA,50.0501,-110.6683,47.71,42,100,12.66,overcast clouds
204,Coquimbo,CL,-29.9533,-71.3436,58.73,82,100,6.91,overcast clouds
205,La Ronge,CA,55.1001,-105.2842,25.05,42,20,4.61,few clouds
206,Bluff,NZ,-46.6,168.3333,57.4,72,67,17.67,broken clouds
207,Russell,US,32.3502,-85.1999,65.91,52,75,0.0,broken clouds
208,Severo-Kurilsk,RU,50.6789,156.125,27.32,71,100,28.88,light snow
209,San Rafael,AR,-34.6177,-68.3301,74.79,19,0,12.68,clear sky
210,Usinsk,RU,65.9939,57.5281,15.4,88,98,8.39,overcast clouds
211,Chuy,UY,-33.6971,-53.4616,69.01,57,49,7.16,scattered clouds
212,Safaga,EG,26.7292,33.9365,80.04,38,21,1.41,few clouds
213,Jamestown,US,42.097,-79.2353,44.02,44,0,6.91,clear sky
214,Shu,KZ,43.5983,73.7614,53.04,49,24,5.66,few clouds
215,Centralina,BR,-18.5839,-49.1994,86.63,47,8,5.66,clear sky
216,Kumluca,TR,36.3703,30.2869,63.28,60,0,4.65,clear sky
217,Bela,IN,25.9333,81.9833,83.44,7,0,4.9,clear sky
218,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.05,52,97,5.46,overcast clouds
219,Ballangen,NO,68.3428,16.8315,30.42,86,75,10.36,light shower snow
220,Mina,MX,26.0011,-100.5299,78.06,50,85,7.4,overcast clouds
221,Payakumbuh,ID,-0.2202,100.6308,69.87,95,23,3.4,moderate rain
222,Kawalu,ID,-7.3817,108.2082,73.15,96,100,1.25,overcast clouds
223,Leningradskiy,RU,69.3833,178.4167,-13.23,99,100,7.99,overcast clouds
224,Itacarambi,BR,-15.1022,-44.0919,94.93,21,1,6.98,clear sky
225,Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,26.42,snow
226,Ranong,TH,9.9658,98.6348,77.5,87,97,6.2,overcast clouds
227,Zhangye,CN,38.9342,100.4517,49.03,14,0,2.26,clear sky
228,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,6.91,overcast clouds
229,Zharkent,KZ,44.1628,80.0,58.57,41,73,0.96,broken clouds
230,Zarate,AR,-34.0981,-59.0286,71.82,51,0,13.0,clear sky
231,Ojinaga,MX,29.5667,-104.4167,80.42,38,0,8.05,clear sky
232,Esna,EG,25.2934,32.554,93.22,8,32,8.52,scattered clouds
233,Agadir,MA,30.4202,-9.5982,68.45,67,14,9.64,few clouds
234,Sapouy,BF,11.5544,-1.7736,91.17,37,99,3.4,light rain
235,Nagapattinam,IN,10.7667,79.8333,81.86,80,50,9.73,scattered clouds
236,Kahului,US,20.8947,-156.47,74.84,83,40,19.57,scattered clouds
